,c1,t1,c2,c3,c4,c5,c6,t2,t3,t4,t5,t6
Gm13070,4,1,0,0,1,0,0,1,2,1.00884,0,1
Gm13071,30,20,31,19,25,18,37,19,18,16,28,22
Gm13073,2,0,0,0,0,0,0,1,0,1,0,0
Gm13074,1,0,0,0,0,0,0,1,1,0,0,0
Gm13075,0,3.373,2.28223,7.00751,6.28101,3.45048,2.62618,4.34831,5.57695,7.057311,2.59517,1.8861
Gm13076,0,0,0,0,0,0,0,0,0,0,0,0
Gm13077,0,0,1.00669,0,2,2,0,0,0,0,0,0
Gm13080,0,0,0,0,0,0,2.16917,0,0,0,0,0
Gm13081,0,0,0,0,0,0,0,1,0,0,0,0
Gm13082,0,0,0,1,0,0,0,0,0,0,0,0
Gm13085,0,0,0,0,0,0,0,0,0,0,0,0
Gm13087,0,0,0,0,0,0,0,0,0,0,0,0
Gm13090,0,0,0,0,0,0,0,0,0,0,0,0
Gm13091,24,19.99999,23.99997,32,26,18,16,21,28,27,25,21
Gm13092,158.534,265.002,176.157,336.052,153.306,156.14,170.111,229.909,250.83,242.358,240.095,195.517
Gm13093,2,1,0,3,2,0,2,0,1,4,0,2
Gm13094,0,0,0,1.00112,1.00173,0,0,0,0,1.00132,0,0
Gm13096,0,0,0,0,0,0,0,0,0,1,0,0
Gm13100,0,0,0,0,0,0,0,0,0,0,0,0
Gm13102,0,0,0,0,0,0,0,0,0,0,0,0
Gm13104,0,0,0,0,0,0,0,0,0,0,0,0
Gm13106,0,0,0,0,0,0,0,0,0,0,0,0
Gm13108,0,0,2.63623,1,9.08193,3.59751,2.04945,0,0,0,3,4.63848
Gm13110,3,2,0,3,2,0,2,0,0,4,5,2
Gm13112,0,0,1,0,0,0,0,0,0,1,0,0
Gm13114,0,0,0,0,0,0,0,0,0,0,0,0
Gm13115,0,0,0,0,1,0,0,0,0,0,0,0
Gm13117,0,0,0,0,0,0,0,0,0,1,0,0
Gm13118,0,0,0,0,0,0,0,0,0,0,0,0
Gm13120,0,0,0,0,0,1,0,0,0,0,0,0
Gm13121,0,0,0,0,0,0,0,0,0,0,0,0
Gm13122,0,0,0,0,0,0,0,0,0,0,0,0
Gm13123,0,0,0,0,0,0,0,0,0,0,0,0
Gm13126,0,0,0,0,0,0,1,0,0,0,0,0
Gm13127,0,0,0,0,0,0,0,0,0,1.37692,0,0
Gm13130,5,2,4.36377,1,8.91807,9.40249,2.95055,1,3,0,0,7.36152
Gm13131,0,0,0,0,0,0,0,0,0,0,0,0
Gm13132,0,0,0,0,0,0,0,0,0,1,0,0
Gm13133,0,0,0,0,0,0,0,0,0,0,0,0
Gm13134,0,0,0,0,0,0,0,0,0,0,0,0
Gm13135,0,0,2.04819,0,0,0,0,0,0,0,0,0
Gm13136,0,2.26434,0,2.48518,2.20567,0,0,0,0,1.21247,2.45818,1.48654
Gm13137,0,0,0,0,0,0.333333,0,0,0,0,0,0
Gm13140,0,0,0,1.02552,0,0,0,0,0,0,1.03163,0
Gm13141,0,0,0,0,0,0,1,0,0,0,1.00115,0
Gm13142,0,0,0,0,1.02244,0,0,0,0,0,0,0
Gm13144,0,0.5,0,0.5,0,0.333333,3,0,0,0.406939,0,0
Gm13146,1.53963,2.24763,0,0,0,1.65705,0,1.64003,0,0,0,0
Gm13147,0,0,0,0,0,0,0,0,0,0,0,0
Gm13148,0,0,0,0,0,0,0,0,0,0,0,0
Gm13149,0,0,0,0,0,0,0,0,0,0,0,0
Gm13153,0,0,0,0,0,0,0,0.5,0,0,0,0
Gm13155,0,0,0,0,0,0,0,0,0,0,0,0
Gm13156,0,1,0,0,1,0,0,0,0,1,1,1
Gm13158,2.00351,0,0,2.00629,0,0,0,0,0,0,0,0
Gm13160,0,0,0,0,2.20482,2.17817,0,0,0,0,1.10673,0
Gm13161,0,0,0,0,0,0,0,0,0,0,0,0
Gm13162,0,0,0,0,0,0,0,0,0,0,0,0
Gm13163,2,6,0,1,0,0,3,0,0,0,2,0
Gm13165,0,0,0,0,0,0,0,0,0,0,0,0
Gm13166,2.6505,4.2053,6.20496,17.114496,1.72815,3.890512,6.37583,4.9323,4.80719,4.23189,13.3335,3.01142
Gm13167,0,0,0,3.02538,1.81085,0,1.85235,0,1.78954,0,0,0
Gm13168,0,0,0,0,0,0,0,0,0,0,0,0
Gm13169,0,0,0,7.95058e-08,0,0,0,0,1.48641e-08,0,0,0
Gm13170,0,0,0,0,0,0,0,9.92756e-08,0,0,0,0
Gm13171,0,0,0,0,0,0,0,0,0,0,0,1
Gm13172,0,0,0,0,0,0,0,0,0,0,0,0
Gm13173,0,0,0,0,0,0,0,0,0,0,0,0
Gm13174,0,0,0,0,0,0,0,0,0,0,0,0
Gm13175,0,0,0,0,0,0,0,0,0,0,0,0
Gm13176,1.00859,1,1.00744,0,1,0,4,0,0,0,0,0
Gm13179,2,0,1,0,0,0,0,0,0,0,0,0
Gm13180,0,0,0,0,0,0,0,0,0,0,0,0
Gm13181,0,0,0,0,0,0,0,0,0,1,0,0
Gm13182,0,0,0,0,0,0,0,0,0,1.0285,0,0
Gm13183,0,0,0,0,0,0,0,0,0,0,0,0
Gm13184,2,4,0,4,0,0,0,0,4,0,1,0
Gm13185,0,0,0,0,0,0,0,0,0,0,0,0
Gm13186,0,0,0,0,0,0,0,0,0,0,0,0
Gm13187,0,0,0,0,0,0,0,0,0,0,0,0
Gm13188,0,0,0,0,0,0,0,0,0,0,0,0
Gm13189,0,0,0,0,0,0,0,0,0,0,0,0
Gm13191,0,0,0,0,0,0,0,0,0,0,0,0
Gm13192,0,0,0,7.71735,0,0,0,0,0,0,0,0
Gm13193,0,0,0,0,0,0,0,0,0,0,0,0
Gm13194,15,9,9.00823,6.0036,18.0279,16.0155,10.0051,2,4,6,9.00868,10.0042
Gm13195,6,14,9,2,7,7,9,23,11,8,23,12
Gm13196,0,0,1.00111,1.00036,0,0,0,0,0,0,0,0
Gm13197,0,0,0,0,0,0,0,0,0,0,0,0
Gm13198,0,0,0,0,0,0,0,0,1.00014,0,1.00017,2.00053
Gm13199,43,35,40,35.1532,46.1215,51.17015,81.3733,45,42,44,36.09039,34.99997
Gm13200,0,0,0,0,0,0,0,0,0,0,0,0
Gm13201,0,0,0,0,0,0,0,0,0,0,0,0
Gm13203,8,1,7,8,10,6,13,2,11,19,5,11
Gm13204,8,9,9,3.00011,3,5,4,6,2,1.18276,3,3
Gm13205,26,28.3443,19.122,27,18,11,23.2864,12.0888,26.1993,15,20.3395,20
Gm13206,0,0,0,0,0,0,0,0,0,0,0,0
Gm13207,0,0,0,0,0,0,0,0,0,2,0,1
Gm13209,0,0,0,0,0,0,0,0,0,0,0,0
Gm13210,0,0,0,0,0,0,0,0,0,0,0,0
Gm13211,1.00531,0,0,0,1,0,0,0,0,0,0,1
Gm13213,0,0,0,0,0,0,0,0,0,1.00132,1.0009,0
Gm13214,0,0,0,0,0,0,0,0,0,0,0,0
Gm13215,0,0,0,0,1.00172,0,0,0,0,0,0,0
Gm13216,0,0,2.00313,0,0,0,0,1.00082,0,0,1.00204,0
Gm13217,0,0,0,0,0,0,0,0,0,0,0,1.22092
Gm13219,0,0,0,0,0,0,0,0,0,0,0,0
Gm13220,0,0,0,0,0,0,0,0,0,0,0,0
Gm13221,0,0,0,0,0,0,0,0,0,0,0,0
Gm13222,0,0,0,0,0,0,0,0,0,0,0,0
Gm13223,0,0,0,1.00375,0,0,0,0,0,0,0,0
Gm13224,0,0,0,0,0,0,0,0,0,0,0,0
Gm13226,1.01645,1.01394,2.02867,1.02019,2.04056,2.04536,1.01895,1.0161,3.04318,0,0,2.04885
Gm13228,0,0,0,0,0,0,0,0,0,0,0,0
Gm13229,0,0,0,0,0,0,0,0,0,0,0,0
Gm13230,0,0,0,0,0,0,0,0,0,0,0,0
Gm13231,1.22651,0,0,0,0,0,0,0,1.11545,0,0,0
Gm13232,0,0,0,0,0,0,0,0,0,0,0,0
Gm13233,0,0,0,0.967388,0,0,0,0,1.9495,0,0.965531,0
Gm13234,0,0,0,0,0,0,0,0,0,0,0,0
Gm13236,1.03392,1.07784,1.09559,0.855136,1.04322,0,1.10095,1.52379,2.88073,0,0,0.90131
Gm13237,6.56158,19.1653,0,2.46194,12.5709,0,0,16.7704,13.597,10.3743,7.55472,5.41928
Gm13238,6.15851,3.15693,4.49045,5.83052,6.66604,0,1.49919,5.02647,2.49687,0,1.98588,5
Gm13239,0,0,0,0,0,0,0,0.5,0,0,0,0
Gm13240,0,0,0,0.5,0,0,0,0,0,0,0,0
Gm13241,3.32851,4.64639,1.53519,1.18984,3.3425,3.38683,1.50407,4.41412,2.52831,4.02301,2.04275,0
Gm13243,0,0,0,0.5,0,0,0,0,0,0,0,0
Gm13244,0,0,0,0.0447033,0,0,0,0,0.0575486,0,0.0419208,0
Gm13245,3,2,0,5,1,1,6,3,2,1.00024,7,1
Gm13246,0,0,2.00039,0,0,0,0,0,1,3.00048,0,0
Gm13249,0,0.5,0,0.5,0,0.333333,3,0,0,0.59314,0,0
Gm13250,0,0,0,0,0,0,0,0,0,0,0,0
Gm13252,4,0,1.00121,1.00208,0,0,0,0,0,0,0,0
Gm13254,0,0,0,0,0,0,0,0,0,0,0,0
Gm13255,1,0,1.46388,1,0,2,3.63495,1.50081,2.6569,0,3,2
Gm13256,0,0,0,0,0,0,0,0,1,1,0,0
Gm13257,0,0,0,0,0,0,0,0,0,0,0,0
Gm13259,0,0,0,0,0,0,0,1,0,0,0,0
Gm13260,0,1,0,2,0,1,1,0,0,1.00115,0,0
Gm13261,0,0,0,0,1,0,0,0,0,0,0,0
Gm13262,3,1,2,2,0,0,0,3,1,1,0,0
Gm13263,0,0,0,0,0,0,0,0,0,0,0,1
Gm13264,0,0,0,0,0,0,0,0,0,0,0,0
Gm13265,0,0,0,0,0,0,0,0,0,0,0,0
Gm13266,0,0,0,0,0,0,0,0,0,1,0,0
Gm13267,1.10304,0,0,0,0,0,0,0,1.00751,0,0,0
Gm13268,0,0,0,0,0,0,0,0,0,0,0,0
Gm13269,0,0,0,0,0,0,0,0,0,0,0,0
Gm13270,13.49624,7.70482,14.84044,5.30587,10.17427,9.83278,6.33789,11.8191,5.63466,4.76062,7.4049,6.00594
Gm13271,0,0,0,0,0,0,0,0,0,0,0,0
Gm13272,0,0,0,0,0,0,0,0,0,0,0,0
Gm13273,0,0,0,0,0,0,0,0,0,0,0,0
Gm13274,0,0,0,3,0,2,0,2,2.000001,0,0,0
Gm13275,0,0,0,0,0,0,0,0,0,0,0,0.0848556
Gm13276,0,0,0,0,0,0,0,0,0,0,0,0.0848556
Gm13277,0,0,0,0,0,0,0,0,0,0,0,0.0848556
Gm13278,0,0,0,0,0,0,0,0,0,0,0,0.0848556
Gm13279,0,0,0,0,0,0,0,0,0,0,0,0.0848556
Gm13281,0,0,0,0,0,0,0,0,0,0,0,0
Gm13282,0,0,0,0,1,0,0,0,0,0,0,0
Gm13283,0.139865,0.584685,0,0,0.123817,0,0.0116765,0,0.239076,0,0,0
Gm13284,0,0,0,1,0,0,1,0,0,0,0,0
Gm13285,0.430068,1.70766,2.39849,0,0.438092,0,0.0296791,0,0.760924,0,1,1.40601
Gm13286,0,0,0,0,0,0,0,0,0,0,0,0
Gm13287,0,0,0,0,0,0,0,0,0,0,0,0.0848556
Gm13288,0,0,0,0,0,0,1.92897,0,0,0,0,0
Gm13289,0,0,0,0,0,0,0,0,0,0,0,0.0848556
Gm13290,0,0,0,0,0,0,0,0,0,0,0,0
Gm13291,0,0,0,1,0,0,0,0,1,1,1,0
Gm13292,0,5.58991,14.135,6.6825,3.94135,2.08225,4.50581,9.75262,16.837,7.45882,8.27091,4.40729
Gm13293,1,1.53141,2.88362,2.78544,1,1,7,0.301996,2.70356,1.76708,4,1.33765
Gm13294,0,0,0,0,0,0,0,0,0,0,0,0
Gm13296,0,0,1,0,0,0,0,0,0,0,0,0
Gm13297,0,0,0,0,0,0,0,0,0,0,0,0
Gm13299,0,0,0,0,0,0,0,0,0,0,0,0
Gm1330,0,0,0,0,0,0,0,0,0,0,0,0
Gm13301,0,0,0,0,0,0,0,0,0,0,0,0
Gm13302,0,0,0,0,0,0,0,0,0,0,0,0
Gm13303,0,0,0,0,0,0,0,0,0,0,0,0
Gm13304,0,0,0,1,0,0,0,0,1,0,0,0
Gm13305,0,0,0,0,0,1.22216,0,1.24377,0,1.12676,0,0
Gm13306,0,0,0,0,0,0,0,0.5,0,0,0,0
Gm13307,0,0,0,0,0,0,0,0,0,0,0,0
Gm13310,0,0,1.00547,0,0,0,0,0,0,1.00577,0,0
Gm13311,0,0,0,0,0,0,1.00421,0,0,0,0,0
Gm13312,0,1.014,4.14648,2.03027,3,0,0,0,2.07478,1.0157,0,1.03024
Gm13313,5,0,0,0,1.00168,0,3.00643,2,0,0,1.00146,1.00316
Gm13314,0,0,0,0,0,0,0,0,0,0,0,0
Gm13315,0,0,0,2.00026,1.00006,0,0,0,0,0,0,2.00052
Gm13316,0,0,0,0,0,0,0,0,0,0,0,0
Gm13320,0,0,0,0,0,0,0,0,0,0,0,0
Gm13321,0,0,0,0,0,0,0,0,0,1,3.00123,0
Gm13322,0,0,0,0,0,0,0,0,0,0,0,0
Gm13323,15.4167,16.936,9.43913,14,16.5576,10.1436,8.85042,17.5133,12.9354,17.5044,14.7455,14.7017
Gm13324,0,0,0,0,0,0,0,0,0,0,0,0
Gm13325,0,0,0,0,0,0,0,0,0,0,0,0
Gm13326,0,0,0.00361512,0,0,0,0,0,0,0,0,0
Gm13327,0,0,0,0,0,0,0,0,0,0,0,0
Gm13328,0,0,0,1.18507,0,0,0,0,0,0,0,0
Gm13329,0,0,0,0,0,0,0,0,0,0,0,0
Gm13330,0,0,0,0,0,0,0,0,0,0,0,0
Gm13331,5.64143,3.8468,1.6744,0,1.42236,0,11.6898,0,10.1208,0,3.00081,0
Gm13332,0,0,0,0,0,0,0,0,0,0,0,0
Gm13333,5,2,1,3,2,0,4,2,1,1.001,0,1
Gm13335,0,0,0,0,0,0,0,0,0,0,0,0
Gm13337,0,0,0,0,0,0,0,0,0,0,0,0
Gm13338,0,0,0,0,0,0,0,0,0,0,0,0
Gm13339,1.00951,1.01089,3.07008,7.22565,5.11856,2.05453,1.01561,0,0,6.14827,6.1733,12.2656
Gm13340,36.168,36.1575,73.3941,61.3894,109.679,126.946,49.3231,40.1923,39.1848,55.2822,110.884,110.503
Gm13341,81.5274,81.5813,128.912,117.302,173.352,111.464,133.859,102.557,65.9984,101.435,180.059,145.771
Gm13342,0,0,0,0,0,0,0,0,0,0,0,0
Gm13343,0,0,0,0,0,0,0,0,0,0,0,0
Gm13344,0,0,0,0,0,0,0,0,0,0,0,0
Gm13345,0,0,0,0,0,0,0,0,0,0,0,0
Gm13346,0,0,1.00137,0,0,0,0,0,1.00069,0,0,0
Gm13347,0,0,0,0,0,0,0,0,0,0,0,0
Gm13348,0,0,1,2,0,0,0,0,0,0,0,2.32053
Gm13349,0,0,0,0,0,0,0,0,0,0,0,0
Gm1335,0,0,0,0,0,0,0,0,1,1,0,0
Gm13350,0,0,0,0,0,0,0,0,1,1,0,0
Gm13351,2,1.00065,1.0013,0,0,0,2,1,4,3.00169,0,0
Gm13352,0,1,0,0,0,0,0,0,0,0,0,0
Gm13353,0,0,0,0,0,0,0,0,0,0,0,0
Gm13355,0,0,0,0,0,0,0,0,0,0,0,0
Gm13356,0,0,0,0,0,0,0,0,0,0,0,0
Gm13357,0,1,1,1,0,0,2,0,0,1,0,0
Gm13358,0,0,0,0,0,0,0,0,0,0,0,0
Gm13359,0,0,0,0,0,0,0,0,0,0,0,0
Gm13360,0,0,0,1,0,0,0,0,0,0,0,0
Gm13361,0,0,0,0,0,0,0,0,0,0,0,0
Gm13362,1,1,0,0,0,0,0,0,1,0,0,1
Gm13363,0,1.43915,0,0,0,0,0,0,0,0,0,1.3088
Gm13365,0,0,0,0,0,0,0,0,0,0,1,0
Gm13366,0,0,0,0,0,0,0,0,0,0,0,0
Gm13367,0,0,0,0,0,0,0,0,0,0,0,0
Gm13368,0,0,0,0,0,0,0,0,0,0,0,0
Gm13369,0,0,0,0,0,1.00044,0,0,0,0,0,0
Gm13370,0.0231435,0.0994091,0.0010109,0.198387,0.025368,0.114721,0.406397,0.384735,0.0286876,0.00086541,0.265186,0.071587
Gm13371,0,2.64866,0,0,0,0,0,0,0,0,0,0.67947
Gm13372,0,0,0,0,0,0,0,0,0,0,0,0
Gm13373,10.55542,10,8.41092,10.38873,11.27949,8.00001,10,4.35696,5,5.999995,5.6829,9
Gm13375,92,74.9999,64,80.8286,84.7995,62.76962,74.7444,73,58.66315,73.547,71.7761,69.7352
Gm13376,0,0,0,0,0,0,0,0,0,0,0,0
Gm13377,0,0,0,0,0,0,0,0,0,0,0,0
Gm13378,0,0,0,0,0,0,0,0,0,0,0,0
Gm13379,0,0,0,0,1.00073,0,0,0,1,0,1.00131,0
Gm13380,1,1,1,1,0,0,0,1,1,0,0,2
Gm13381,1,0,2,1,1,0,0,1,0,0,0,0
Gm13383,0,0,0,0,0,0,0,0,0,0,0,0
Gm13384,0,0,0,0,0,0,0,0,0,0,0,0
Gm13385,0,0,0,0,0,0,0,0,0,0,0,0
Gm13386,0,0,0,0,0,0,0,0,0,0,0,0
Gm13387,4.09211,2.030177,6.66673,1.0849,2.25898,1.10863,4.224408,3.02083,8.061024,1.07045,4.65844,3.54565
Gm13388,0,0,0,0,0,0,2,0,1,0,0,0
Gm13389,0,0,0,0,0,0,0,0,0,0,0,0
Gm13391,0,0,1,0,2,0,0,0,0,0,1,0
Gm13392,0,0,0,1.28873,1.23483,0,0,0,0,0,0,0
Gm13393,0,1,0,0,0,0,0,0,0,1,0,0
Gm13394,4.48029,4.14064,13.4978,23.1119,21.9911,21.8157,20.2356,0,12.4138,11.9271,27.5447,37.7474
Gm13396,0,0,0,0,0,0,0,0,0,0,0,0
Gm13397,0,0,0,0,0,0,0,0,0,0,0,0
Gm13398,3,0,0,0,0,0,0,0,0,0,0,0
Gm13400,0,0,0,0,0,0,0,0,0,0,0,0
Gm13401,0,0,0,0,0,0,0,0,0,2,0,0
Gm13402,1.01934,0,0,0,0,1.11717,1,0,0,0,1.01987,0
Gm13403,5,7,1,8,4,2,8,7,3,6,3,5
Gm13404,8,2,2.64602,1.00075,4.00003,1,3,1,1,3.00401,0,0
Gm13405,1,0.203291,0,0,0,0,0,0,0,0,0,1
Gm13406,0,0,0,0,0,0,0,0,0,0,0,0
Gm13407,1,0,0,0,2,0,1,0,0,1,3,1
Gm13408,3.62864,2.4384,4.67897,4.17894,1.43346,4.65631,3.66134,4.31245,3.64407,2.38149,7.33162,3.6728
Gm13409,0,0,0,0,0,0,0,0,0,0,0,0
Gm13410,0,0,0,0,0,0,0,0,0,0,0,0
Gm13411,0,0,1,0,0,0,0,0,0,0,0,1
Gm13412,2,3,10,2,16,10,5,2,3,6,17,15
Gm13413,0,0,1.00102,0,1.00253,1.00189,0,0,0,0,1.00281,1.0016
Gm13414,1.89532,0,0,0,0,0,2.47828,2.15815,0,0,0,0
Gm13415,11,4.01469,16.0675,4.00004,17.0167,17.0123,12,5.01189,6,8.03311,6.00002,15
Gm13416,0,0,0,0,0,0,0,0,0,0,0,0
Gm13417,0,0,0,0,0,0,0,0,0,0,0,0
Gm13418,3,1,8.00826,2.00045,5,2,2,1,1,1.00061,0,3
Gm13419,0,0,0,0,0,0,0,0,0,0,0,0
Gm13420,2,0,1,1,1,0,1,2,0,2,1,1
Gm13421,215.6129,239.5004,155.27717,211.9958,138.792,88.23284,158.4606,170.67504,185.52728,178.7063713,159.3649,177.0550002
Gm13422,1.00624,0,0,0,0,0,0,0,0,0,0,0
Gm13423,4,8,9,11,10,5,6,5,3,10.148,12.8878,9
Gm13424,0,0,0,0,0,0,0,0,0,0,0,0
Gm13425,0,0,0,0,0,0,0,0,0,0,0,0
Gm13426,0,0,0,0,0,0,0,0,0,0,0,0
Gm13427,4.70799,16.0312,12.1326,6.96165,6.01013,2.27061,4.4363,10.4364,3.43207,7.32931,5.93765,6.45235
Gm13428,0,0,0,0,0,0,0,0,0,0,0,0
Gm13429,0,0,0,0,0,0,0,0,0,0,0,0
Gm13430,0,0,0,0,0,0,0,0,0,0,0,0
Gm13431,0,2,0,1,0,0,0,0,1,0,0,2
Gm13432,1,4,1,0,0,0,0,0,0,0,0,0
Gm13433,1,0,0,0,0,0,0,1,1,1,0,0
Gm13435,0,0,0,0,0,0,0,0,0,0,0,0
Gm13436,0,1.40859,1.35534,2.76917,1.36312,5.58458,1.42513,1.45169,2.77765,2.74235,7.10828,2.81428
Gm13437,0,0,0,0,0,0,0,0,0,0,0,0
Gm13438,0,0,0,0,0,0,0,0,0,0,0,0
Gm13439,0,0,0,0,0,0,0,0,0,0,0,0
Gm13441,0.0474897,0,1.00117,1,1,0,0,1,1,0,0,0
Gm13442,0,0,0,0,0,0,0,0,0,0,0,0
Gm13444,0,2,1,0,0,0,0,2,1,0,7,2
Gm13445,0,0,0,0,0,0,0,2,0,2,5,1
Gm13446,0,0,0,0,0,0,0,0,0,0,0,0
Gm13448,0,0,0,0,0,0,0,0,0,1,0,0
Gm13449,0,0,0,0,0,0,0,0,0,0,0,0
Gm13450,0,0,0,0,0,0,0,0,0,0,0,0
Gm13451,0,0,0,0,0,0,0,0,0,0,0,0
Gm13452,0,0,0,0,0,0,0,0,0,0,0,0
Gm13453,0,0,0,0,0,0,2.45432,0,0,1.12308,0,2.30361
Gm13454,0,0,0,0,0,0,0,0,0,0,1,0
Gm13455,0,0,0,0,0,0,0,0,0,0,0,0
Gm13456,14.0493,17.8048,29.1894,25.9781,26.9454,18.0155,18.093,20.5445,14.0394,17.34,30.9585,38.4817
Gm13457,0,0,0,0,0,0,0,0,0,0,0,0
Gm13458,0,0,0,0,0,0,0,0,0,0,0,0
Gm13459,0,0,0,0,0,0,0,0,0,0,0,0
Gm13460,0,0,0,0,0,0,0,0,0,0,0,0
Gm13461,0,3.06859,2.69941,0,0,0,0,3.17176,0,0,0,3.75944
Gm13462,0,0,0,0,0,0,0,0,0,0,0,0
Gm13463,0,0,0,0,0,0,0,0,0,0,0,0
Gm13464,11.7144,10.9976,9.66695,3.06214,15.8256,5.27557,7.66058,9.16413,10.5725,7.39553,10.7878,10.9161
Gm13465,0,0,0,0,1,0,0,1,0,1.044,0,0
Gm13466,0,0,0,0,1,0,0,0,0,0,0,0
Gm13467,0,0,0,0,0,0,0,0,0,0,0,0
Gm13469,0,0,0,0,0,0,0,0,0,0,0,0
Gm13470,1,1,0,0,0,0,0,0,0,0,1,0
Gm13471,0,0,0,0,0,0,0,0,0,0,0,0
Gm13472,0,0,0,0,0,0,0,1,0,1,1,1
Gm13473,0,0,0,0,0,0,0,0,0,0,0,0
Gm13474,0,0,0,0,0,0,0,0,0,0,0,0
Gm13475,0,0,0,0,0,0,0,0,0,0,0,0
Gm13477,9.54383,8.91452,4,5.01291,6.54459,7.27005,7,7.8407,9.88403,9.58739,6.78418,12.6968
Gm13478,0,0,0,0,0,0,0,0,0,0,0,0
Gm13479,5.0002,2.00019,3.01278,1.03286,1.00254,0,3.03587,1.03111,1.00454,1.01204,0,3.06403
Gm13480,0,0,0,0,0,0,0,0,0,0,0,0
Gm13481,15,7,11,4,4,8,7,7,3,2,6,5
Gm13482,0,0,0,0,0,0,0,0,0,0,0,0
Gm13483,1,0,1,1,0,0,0,0,0,0,0,0
Gm13484,0,0,0,0,0,0,0,1,0,0,0,0
Gm13485,5,0,1,1,2,0,2,3,3,2,0,0
Gm13486,0,0,1,0,0,0,1,0,0,0,0,0
Gm13487,0,0,0,2.17478,0,0,0,0,0,0,0,0
Gm13488,0,0,0,0,0,0,0,0,0,0,0,0
Gm13489,0,0,0,0,0,0,0,0,0,0,0,0
Gm13490,1,0,0,0,0,0,0,0,1,0,0,0
Gm13491,0,0,0,0,0,0,0,0,0,0,0,0
Gm13492,0,0,0,0,0,0,0,0,0,0,0,0
Gm13493,0,0,1.17443,2.35367,1.17657,6.65227,2.36745,1.18738,1.16824,3.4733,4.47317,2.46381
Gm13494,0,0,0,0,0,0,0,0,0,0,0,0
Gm13495,0,0,1,3,0,0,0,0,0,0,0,0
Gm13496,0,2,2,3,0,1,0,0,2,2,2,2
Gm13497,8.27823,4.00029,3.13434,2.07758,5.06185,4,3.00046,2.00009,6.10101,3.00039,3.00045,2.00043
Gm13498,1,1.00004,3.00028,0,1.00006,0,1,2.00018,2,0,4.00037,2.00011
Gm13499,0,0,0,0,1,0,1,1,3,1,0,0
Gm13500,0,0,0,0,0,0,0,0,0,0,0,0
Gm13501,0,0,0,0,0,0,0,0,0,0,0,0
Gm13503,0,0,0,0,0,0,0,0,0,0,0,0
Gm13504,0,0,0,0,0,0,0,0,0,0,0,0
Gm13505,0,0,0,0,0,0,0,0,0,0,0,0
Gm13506,0,0,0,0,0,0,0,0,0,0,0,0
Gm13508,0,1,0,0,0,0,1,0,0,0,0,0
Gm13510,0,0,1,0,0,0,0,0,0,0,0,0
Gm13511,0,0,0,1,0,0,0,0,0,0,0,0
Gm13517,3.00391,0,0,0,0.696847,0,1,0,1,0,0,1.00068
Gm13518,0,0,0,0,0,0,0,0,0,0,0,0
Gm13521,0,0,0,0.918893,0.255005,0,0,1,0,0,0,1
Gm13522,7,4,4,3,4,1,2,3,14,4,6,3
Gm13523,0,1,2.02077,2.00283,0,0,2.03127,1.01078,1,1.04667,3.41301,2
Gm13524,0,0,0,0,0,0,0,0,0,0,0,0
Gm13525,0,0,0,0,0,0,0,0,0,0,0,0
Gm13527,0,0,0,0,0,0,0,0,0,0,0,0
Gm13528,1,1,0,0,1.00003,0,0,2.0596,0,0,0,3
Gm13529,0,0,0,0,1.00061,0,1,0,0,0,0,0
Gm13530,0,0,0,0,0,0,0,0,0,0,0,0
Gm13531,0,0,0,0,0,0,0,0,0,0,0,0
Gm13532,1.02599,0,0,1.02952,1.02663,0,1.03831,0,2.04798,1.03802,0,1.03619
Gm13533,0,0,0,0,0,0,0,0,0,0,0,0
Gm13534,0,0,0,0,0,0,0,0,0,0,0,0
Gm13535,1,0,0,0,0,0,0,0,0,1,0,0
Gm13536,0,0,0,0,0,0,0,0,1,1,0,0
Gm13537,1,2,0,0,1,0,0,0,1,0,0,0
Gm13538,0,0,0,0,0,0,0,0,0,0,0,0
Gm13539,0,0,0,0,0,0,0,0,0,0,0,0
Gm13541,0,0,0,0,0,0,0,0,0,0,0,0
Gm13542,1,0,0,2,2.00778,2,4,0,5,0,2,2
Gm13543,0,0,0,0,0,0,0,0,0,0,1,0
Gm13544,0,2,0,3,3,2,0,2,2,1,2,0
Gm13545,0,0,0,0,0,0,0,0,0,0,0,0
Gm13546,0,0,0,0,0,0,0,0,0,0,0,0
Gm13547,5,2.00905,1,2,2,0,2,0,0,1,0,0
Gm13548,0,0,0,0,0,0,0,0,0,0,0,0
Gm13549,1,0,0,0,0,0,0,0,0,0,0,0
Gm13550,0,0,0,0,0,0,0,0,0,0,0,0
Gm13551,0,1,0,0,0,0,0,0,0,0,0,1
Gm13552,0,0,0,0,3.25735,0,1.82474,0,0,0,0,0
Gm13553,0,0,0,0,0,0,0,0,0,0,1,0
Gm13554,0,0,0,0,0,0,0,0,0,0,0,0
Gm13555,0,0,0,0,0,0,0,0,0,0,0,0
Gm13556,0,0,0,0,0,1,0,0,0,0,2,0
Gm13557,0,0,0,0,0,0,0,0,0,0,0,1
Gm13558,0,0,0,0,0,0,0,0,1,0,0,0
Gm13559,0,0,0,0,0,0,0,0,0,0,2.00012,0
Gm13560,0,0,0,0,0,0,0,0,0,0,0,0
Gm13561,12.7575,1.03999,4.24491,2.10144,10.7222,11.1707,9.2692,5.12016,3,3,7.42052,6
