"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0031343","BP","GO:0031343","positive regulation of cell killing","5/80","64/14811",2.40721484691928e-05,0.000756338873564748,0.000626530609846819,"Raet1e/H2-Q1/H2-Q2/H2-Bl/H2-Q10",5
"GO:0045785","BP","GO:0045785","positive regulation of cell adhesion","11/80","442/14811",2.42060989916267e-05,0.000756338873564748,0.000626530609846819,"H2-Q1/Ank3/Myadm/Ptprj/H2-Q2/H2-Bl/Rac3/Icosl/H2-Q10/Sox13/Tnfsf13b",11
"GO:0010887","BP","GO:0010887","negative regulation of cholesterol storage","3/80","11/14811",2.42696850538925e-05,0.000756338873564748,0.000626530609846819,"Ttc39b/Ppard/Pparg",3
"GO:2001185","BP","GO:2001185","regulation of CD8-positive, alpha-beta T cell activation","4/80","32/14811",2.52932770609758e-05,0.000775524511176048,0.000642423471701524,"H2-Q1/H2-Q2/H2-Bl/H2-Q10",4
"GO:0045954","BP","GO:0045954","positive regulation of natural killer cell mediated cytotoxicity","4/80","33/14811",2.86642124512961e-05,0.00086493123603038,0.000716485577729976,"H2-Q1/H2-Q2/H2-Bl/H2-Q10",4
"GO:0032102","BP","GO:0032102","negative regulation of response to external stimulus","10/80","371/14811",2.98115612309397e-05,0.000885496529687755,0.000733521309234963,"H2-Q1/H2-Q2/Ppard/H2-Bl/H2-Q10/Slc39a8/Dusp1/Pparg/Fgl2/Grin1",10
"GO:0006828","BP","GO:0006828","manganese ion transport","3/80","12/14811",3.22335904034685e-05,0.000904461464706728,0.000749231347047961,"Slc30a10/Mmgt2/Slc39a8",3
"GO:0001911","BP","GO:0001911","negative regulation of leukocyte mediated cytotoxicity","4/80","34/14811",3.23531718043438e-05,0.000904461464706728,0.000749231347047961,"H2-Q1/H2-Q2/H2-Bl/H2-Q10",4
"GO:0002507","BP","GO:0002507","tolerance induction","4/80","34/14811",3.23531718043438e-05,0.000904461464706728,0.000749231347047961,"H2-Q1/H2-Q2/H2-Bl/H2-Q10",4
"GO:0002717","BP","GO:0002717","positive regulation of natural killer cell mediated immunity","4/80","34/14811",3.23531718043438e-05,0.000904461464706728,0.000749231347047961,"H2-Q1/H2-Q2/H2-Bl/H2-Q10",4
"GO:0002824","BP","GO:0002824","positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","6/80","114/14811",3.44435767387163e-05,0.000948945498265214,0.000786080713975891,"Raet1e/H2-Q1/H2-Q2/H2-Bl/H2-Q10/Tnfsf13b",6
"GO:0002438","BP","GO:0002438","acute inflammatory response to antigenic stimulus","4/80","36/14811",4.07581782273423e-05,0.00110687566871683,0.000916905783881265,"H2-Q1/H2-Q2/H2-Bl/H2-Q10",4
"GO:0002377","BP","GO:0002377","immunoglobulin production","7/80","174/14811",4.22654835429788e-05,0.00113164343965074,0.000937422733584823,"H2-Q1/H2-Q2/H2-Bl/Icosl/H2-Q10/Fgl2/Tnfsf13b",7
"GO:0031342","BP","GO:0031342","negative regulation of cell killing","4/80","37/14811",4.55116298357358e-05,0.00118517271668128,0.000981764934884798,"H2-Q1/H2-Q2/H2-Bl/H2-Q10",4
"GO:0046641","BP","GO:0046641","positive regulation of alpha-beta T cell proliferation","4/80","37/14811",4.55116298357358e-05,0.00118517271668128,0.000981764934884798,"H2-Q1/H2-Q2/H2-Bl/H2-Q10",4
"GO:0050727","BP","GO:0050727","regulation of inflammatory response","9/80","313/14811",4.65815319380164e-05,0.00119664178667796,0.000991265601412126,"H2-Q1/Ptges/H2-Q2/Ppard/H2-Bl/H2-Q10/Slc39a8/Pla2g3/Pparg",9
"GO:0002886","BP","GO:0002886","regulation of myeloid leukocyte mediated immunity","5/80","74/14811",4.8760981589856e-05,0.00123592834669755,0.0010238095222235,"H2-Q1/H2-Q2/H2-Bl/H2-Q10/Pla2g3",5
"GO:0002821","BP","GO:0002821","positive regulation of adaptive immune response","6/80","122/14811",5.04485684975483e-05,0.00126187800939262,0.00104530551900737,"Raet1e/H2-Q1/H2-Q2/H2-Bl/H2-Q10/Tnfsf13b",6
"GO:0050863","BP","GO:0050863","regulation of T cell activation","9/80","320/14811",5.52813228346884e-05,0.00136480252868497,0.00113056539932596,"H2-Q1/H2-Q2/H2-Bl/Icosl/H2-Q10/Fgl2/Sox13/Tnfsf13b/Foxn1",9
"GO:0031348","BP","GO:0031348","negative regulation of defense response","8/80","249/14811",5.8209453914347e-05,0.00141866887039966,0.0011751868158686,"H2-Q1/H2-Q2/Ppard/H2-Bl/H2-Q10/Slc39a8/Pparg/Fgl2",8
"GO:0002478","BP","GO:0002478","antigen processing and presentation of exogenous peptide antigen","4/80","40/14811",6.22073860891663e-05,0.00145995359204327,0.00120938595957626,"H2-Q1/H2-Q2/H2-Bl/H2-Q10",4
"GO:0002675","BP","GO:0002675","positive regulation of acute inflammatory response","4/80","40/14811",6.22073860891663e-05,0.00145995359204327,0.00120938595957626,"H2-Q1/H2-Q2/H2-Bl/H2-Q10",4
"GO:0036037","BP","GO:0036037","CD8-positive, alpha-beta T cell activation","4/80","40/14811",6.22073860891663e-05,0.00145995359204327,0.00120938595957626,"H2-Q1/H2-Q2/H2-Bl/H2-Q10",4
"GO:0001910","BP","GO:0001910","regulation of leukocyte mediated cytotoxicity","5/80","79/14811",6.67997682423952e-05,0.0015299561376963,0.00126737416982401,"Raet1e/H2-Q1/H2-Q2/H2-Bl/H2-Q10",5
"GO:0002709","BP","GO:0002709","regulation of T cell mediated immunity","5/80","79/14811",6.67997682423952e-05,0.0015299561376963,0.00126737416982401,"Raet1e/H2-Q1/H2-Q2/H2-Bl/H2-Q10",5
"GO:0002888","BP","GO:0002888","positive regulation of myeloid leukocyte mediated immunity","4/80","41/14811",6.86506733086041e-05,0.00153535211717243,0.00127184405287519,"H2-Q1/H2-Q2/H2-Bl/H2-Q10",4
"GO:0032816","BP","GO:0032816","positive regulation of natural killer cell activation","4/80","41/14811",6.86506733086041e-05,0.00153535211717243,0.00127184405287519,"H2-Q1/H2-Q2/H2-Bl/H2-Q10",4
"GO:0002861","BP","GO:0002861","regulation of inflammatory response to antigenic stimulus","4/80","42/14811",7.55668692935295e-05,0.00167037928519767,0.00138369689673342,"H2-Q1/H2-Q2/H2-Bl/H2-Q10",4
"GO:0022407","BP","GO:0022407","regulation of cell-cell adhesion","10/80","422/14811",8.79159242602281e-05,0.00192101347147924,0.00159131545908411,"H2-Q1/Ank3/Myadm/H2-Q2/H2-Bl/Icosl/H2-Q10/Fgl2/Sox13/Tnfsf13b",10
"GO:0050671","BP","GO:0050671","positive regulation of lymphocyte proliferation","6/80","136/14811",9.23834010694481e-05,0.00199569142537524,0.00165317665071644,"H2-Q1/H2-Q2/H2-Bl/Icosl/H2-Q10/Tnfsf13b",6
"GO:0002832","BP","GO:0002832","negative regulation of response to biotic stimulus","6/80","139/14811",0.000104218479352367,0.00220132588054277,0.00182351865627065,"H2-Q1/H2-Q2/H2-Bl/H2-Q10/Pparg/Fgl2",6
"GO:0032946","BP","GO:0032946","positive regulation of mononuclear cell proliferation","6/80","139/14811",0.000104218479352367,0.00220132588054277,0.00182351865627065,"H2-Q1/H2-Q2/H2-Bl/Icosl/H2-Q10/Tnfsf13b",6
"GO:0019884","BP","GO:0019884","antigen processing and presentation of exogenous antigen","4/80","46/14811",0.000108380489098419,0.00226408032720983,0.00187550273789746,"H2-Q1/H2-Q2/H2-Bl/H2-Q10",4
"GO:0022409","BP","GO:0022409","positive regulation of cell-cell adhesion","8/80","274/14811",0.000113476465623675,0.00234308557316848,0.00194094854091201,"H2-Q1/Ank3/H2-Q2/H2-Bl/Icosl/H2-Q10/Sox13/Tnfsf13b",8
"GO:0050867","BP","GO:0050867","positive regulation of cell activation","9/80","352/14811",0.000114627542506401,0.00234308557316848,0.00194094854091201,"H2-Q1/Ptprj/H2-Q2/H2-Bl/Icosl/H2-Q10/Pla2g3/Sox13/Tnfsf13b",9
"GO:0010885","BP","GO:0010885","regulation of cholesterol storage","3/80","18/14811",0.000116793450628783,0.00236081012707686,0.00195563108065394,"Ttc39b/Ppard/Pparg",3
"GO:0042269","BP","GO:0042269","regulation of natural killer cell mediated cytotoxicity","4/80","47/14811",0.000117978412452552,0.00236081012707686,0.00195563108065394,"H2-Q1/H2-Q2/H2-Bl/H2-Q10",4
"GO:0007159","BP","GO:0007159","leukocyte cell-cell adhesion","9/80","354/14811",0.000119651415511904,0.00236934730091801,0.00196270304392333,"H2-Q1/H2-Q2/H2-Bl/Icosl/H2-Q10/Slc39a8/Fgl2/Sox13/Tnfsf13b",9
"GO:0045824","BP","GO:0045824","negative regulation of innate immune response","5/80","90/14811",0.000124371723202298,0.00243742933822236,0.00201910035714203,"H2-Q1/H2-Q2/H2-Bl/H2-Q10/Pparg",5
"GO:0051450","BP","GO:0051450","myoblast proliferation","3/80","19/14811",0.000138153030661683,0.00266910919359697,0.00221101766583851,"Fgfbp1/Ppard/Atoh8",3
"GO:0002715","BP","GO:0002715","regulation of natural killer cell mediated immunity","4/80","49/14811",0.000139001478256759,0.00266910919359697,0.00221101766583851,"H2-Q1/H2-Q2/H2-Bl/H2-Q10",4
"GO:0050870","BP","GO:0050870","positive regulation of T cell activation","7/80","212/14811",0.00014620049613386,0.00277927143150468,0.00230227307596058,"H2-Q1/H2-Q2/H2-Bl/Icosl/H2-Q10/Sox13/Tnfsf13b",7
"GO:0031341","BP","GO:0031341","regulation of cell killing","5/80","94/14811",0.000152744897096937,0.00287493118199284,0.0023815150188329,"Raet1e/H2-Q1/H2-Q2/H2-Bl/H2-Q10",5
"GO:0070665","BP","GO:0070665","positive regulation of leukocyte proliferation","6/80","151/14811",0.000164164552873512,0.00305957661777007,0.00253447028997703,"H2-Q1/H2-Q2/H2-Bl/Icosl/H2-Q10/Tnfsf13b",6
"GO:0046640","BP","GO:0046640","regulation of alpha-beta T cell proliferation","4/80","53/14811",0.000188989626704974,0.00348805126569083,0.00288940706745673,"H2-Q1/H2-Q2/H2-Bl/H2-Q10",4
"GO:0010888","BP","GO:0010888","negative regulation of lipid storage","3/80","22/14811",0.00021701234736273,0.0039154160001779,0.00324342442275043,"Ttc39b/Ppard/Pparg",3
"GO:0071577","BP","GO:0071577","zinc ion transmembrane transport","3/80","22/14811",0.00021701234736273,0.0039154160001779,0.00324342442275043,"Slc30a10/Slc39a8/Slc30a2",3
"GO:0032814","BP","GO:0032814","regulation of natural killer cell activation","4/80","55/14811",0.000218324090488615,0.0039154160001779,0.00324342442275043,"H2-Q1/H2-Q2/H2-Bl/H2-Q10",4
"GO:0002714","BP","GO:0002714","positive regulation of B cell mediated immunity","4/80","57/14811",0.000250803533942195,0.00441460664837141,0.00365694041693493,"H2-Q1/H2-Q2/H2-Bl/H2-Q10",4
"GO:0002891","BP","GO:0002891","positive regulation of immunoglobulin mediated immune response","4/80","57/14811",0.000250803533942195,0.00441460664837141,0.00365694041693493,"H2-Q1/H2-Q2/H2-Bl/H2-Q10",4
"GO:0002699","BP","GO:0002699","positive regulation of immune effector process","7/80","232/14811",0.000254314443533412,0.004435337221624,0.00367411306157397,"Raet1e/H2-Q1/Ptprj/H2-Q2/H2-Bl/H2-Q10/Pla2g3",7
"GO:1903039","BP","GO:1903039","positive regulation of leukocyte cell-cell adhesion","7/80","233/14811",0.000261064446796792,0.00447372876737961,0.00370591557684316,"H2-Q1/H2-Q2/H2-Bl/Icosl/H2-Q10/Sox13/Tnfsf13b",7
"GO:0002708","BP","GO:0002708","positive regulation of lymphocyte mediated immunity","5/80","106/14811",0.000268132677769554,0.00447372876737961,0.00370591557684316,"Raet1e/H2-Q1/H2-Q2/H2-Bl/H2-Q10",5
"GO:0002639","BP","GO:0002639","positive regulation of immunoglobulin production","4/80","58/14811",0.00026828252471398,0.00447372876737961,0.00370591557684316,"H2-Q1/H2-Q2/H2-Bl/H2-Q10",4
"GO:0002707","BP","GO:0002707","negative regulation of lymphocyte mediated immunity","4/80","58/14811",0.00026828252471398,0.00447372876737961,0.00370591557684316,"H2-Q1/H2-Q2/H2-Bl/H2-Q10",4
"GO:0046633","BP","GO:0046633","alpha-beta T cell proliferation","4/80","58/14811",0.00026828252471398,0.00447372876737961,0.00370591557684316,"H2-Q1/H2-Q2/H2-Bl/H2-Q10",4
"GO:0006882","BP","GO:0006882","intracellular zinc ion homeostasis","3/80","24/14811",0.000283004989502205,0.00460344973695805,0.0038133729098199,"Slc30a10/Slc39a8/Slc30a2",3
"GO:0010878","BP","GO:0010878","cholesterol storage","3/80","24/14811",0.000283004989502205,0.00460344973695805,0.0038133729098199,"Ttc39b/Ppard/Pparg",3
"GO:0042129","BP","GO:0042129","regulation of T cell proliferation","6/80","167/14811",0.000283326469870643,0.00460344973695805,0.0038133729098199,"H2-Q1/H2-Q2/H2-Bl/Icosl/H2-Q10/Tnfsf13b",6
"GO:0002444","BP","GO:0002444","myeloid leukocyte mediated immunity","5/80","108/14811",0.00029246358841909,0.00471163797953128,0.00390299311574451,"H2-Q1/H2-Q2/H2-Bl/H2-Q10/Pla2g3",5
"GO:0002460","BP","GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","8/80","316/14811",0.000300188570120159,0.00479544934284388,0.00397242017602616,"Raet1e/H2-Q1/H2-Q2/H2-Bl/Icosl/H2-Q10/Fgl2/Tnfsf13b",8
"GO:1903037","BP","GO:1903037","regulation of leukocyte cell-cell adhesion","8/80","319/14811",0.000319851770537001,0.00501312228577094,0.00415273453833901,"H2-Q1/H2-Q2/H2-Bl/Icosl/H2-Q10/Fgl2/Sox13/Tnfsf13b",8
"GO:0001906","BP","GO:0001906","cell killing","6/80","171/14811",0.00032172589103843,0.00501312228577094,0.00415273453833901,"Raet1e/H2-Q1/H2-Q2/H2-Bl/H2-Q10/Fgl2",6
"GO:0002822","BP","GO:0002822","regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","6/80","171/14811",0.00032172589103843,0.00501312228577094,0.00415273453833901,"Raet1e/H2-Q1/H2-Q2/H2-Bl/H2-Q10/Tnfsf13b",6
"GO:0001909","BP","GO:0001909","leukocyte mediated cytotoxicity","5/80","111/14811",0.000332058358688493,0.00509066886989375,0.00421697202544979,"Raet1e/H2-Q1/H2-Q2/H2-Bl/H2-Q10",5
"GO:0002456","BP","GO:0002456","T cell mediated immunity","5/80","111/14811",0.000332058358688493,0.00509066886989375,0.00421697202544979,"Raet1e/H2-Q1/H2-Q2/H2-Bl/H2-Q10",5
"GO:0050777","BP","GO:0050777","negative regulation of immune response","6/80","173/14811",0.000342397558280594,0.00520718206633127,0.00431348839737068,"H2-Q1/H2-Q2/H2-Bl/H2-Q10/Pparg/Fgl2",6
"GO:0016064","BP","GO:0016064","immunoglobulin mediated immune response","6/80","174/14811",0.000353116560949795,0.00532757605052031,0.0044132195086123,"H2-Q1/H2-Q2/H2-Bl/Icosl/H2-Q10/Fgl2",6
"GO:0032760","BP","GO:0032760","positive regulation of tumor necrosis factor production","5/80","113/14811",0.000360625724748891,0.00535735453645227,0.00443788719872233,"H2-Q1/Ptprj/H2-Q2/H2-Bl/H2-Q10",5
